mobygames_id	world_of_spectrum_id
dragonsbane	0001501
dragonstar-trilogy-part-i	0006221
dragonstar-trilogy-part-ii	0006222
dragonstar-trilogy-part-iii	0006223
dragontorc	0001503
drakkar	0001505
draughts-genius	0001513
drazen-petrovic-basket	0001516
dream-warrior	0001518
driller-tanks	0001524
druid	0001528
duck-out	0001532
duel-master-blood-valley	0000590
duel-test-drive-ii	0005203
dukes-of-hazzard_	0001537
dun-darach	0001538
dungeon-adventure	0006227
dungeon-romp	0006232
dustin	0001543
dyna-star	0001548
dynamic-duo	0001549
dynamite-dan	0001551
dynamite-dan-ii	0001553
dynamix	0001557
earthlight	0001565
eastenders	0001569
echelon_	0001571
ed-on	0001576
edd-the-duck	0001572
eddie-kidd-jump-challenge	0001574
eidolon	0001581
el-capitn-trueno	0000802
el-cid	0000963
election	0001588
elevator-action	0001594
eliminator-	0001599
eliminator-	0001600
elite	0001601
elven-warrior	0001608
embassy-assault	0001609
emerald-isle	0006249
emilio-butragueo-2	0001612
emilio-butragueo-ftbol	0001610
emilio-sanchez-vicario-grand-slam	0001614
emlyn-hughes-arcade-quiz	0001615
emlyn-hughes-international-soccer	0001616
empire	0001619
empire-fights-back	0001621
enchanted-cottage	0006250
encyclopedia-of-war-ancient-battles	0001623
enduro	0001627
enduro-racer_	0001628
engineer-humpty	0001633
enigma-force	0001634
enlightenment	0001530
equinox_	0001637
eric-and-the-floaters	0001639
erik-phantom-of-the-opera	0001641
escalador-loco	0001643
escape_____	0001645
escape-from-pulsar-7	0006266
escape-from-the-planet-of-the-robot-monsters	0001647
eskimo-eddie	0001651
espionage-island	0005919
eureka	0001661
european-5-a-side	0001664
european-champions_	0001663
european-ii	0001670
european-soccer-challenge	0001666
european-superleague	0001668
evening-star	0001673
everest-ascent	0001675
every-second-counts	0001676
everyones-a-wally-the-life-of-wally	0001677
evil-crown	0001680
exodus_	0001684
exolon	0001686
exploding-fist-	0005641
explorer	0001692
express-raider	0001694
exterminator___	0001696
exterminator-	0001698
extreme	0001699
eye	0001700
eye-of-bain	0005921
f-15-strike-eagle	0001702
f1-tornado	0001701
fa-cup-football	0001708
faerie	0006280
fairlight	0001712
fairlight-ii	0001715
falcon-patrol-ii	0001718
falcon-the-renegade-lord	0001720
falklands-82	0001721
fall-guy	0001722
fall-of-rome	0001723
famous-five-five-on-a-treasure-island	0006284
fantasia-diamond	0006286
fantastic-american-football	0001727
fantastic-voyage__	0001729
fantasy-world-dizzy	0009335
fast-food	0009343
fast-n-furious-thunderceptor	0001734
fast-n-furious-thunderceptor	0005263
fat-worm-blows-a-sparky	0001736
fausts-folly	0006290
feasibility-experiment	0006291
federation	0006837
feline-sleepy	0010792
fellowship-of-the-ring	0006601
fernandez-must-die	0001739
fernando-martn-basket-master	0001741
feud	0001744
fifth-quadrant	0001749
fighter-pilot_	0001754
fighting-soccer	0001756
fighting-warrior	0001757
final-assault	0001761
final-matrix	0001762
finders-keepers	0001764
fire-and-forget	0001765
firebirds	0001770
fireflash	0001771
firefly	0001772
firelord	0001775
firestorm	0001781
firetrap	0001782
fist-the-legend-continues	0005644
flak-the-ultimate-flight-experience	0001789
flashpoint_	0001794
flight-path-737	0001796
flight-simulator__	0001797
flintstones_	0001799
flunky	0001809
flyer-fox	0001811
football-champions	0001817
football-director	0001821
football-manager	0001823
football-manager-2	0001827
football-manager-3	0001830
football-manager-ii-expansion-kit	0001829
football-manager-world-cup-edition-1990	0001831
